Pack List,Customer/Outlet,Pickup Location,Order ID,Item,Pack date,Planned Pack,Actual Pack,Unit,Pack Instruction,Assignee,Labor Time (hr)
Thursday 29/12/2022,חנות הגינה ,,,"(חסה) רומית
Full-Size",29/12/2022,20,20,hd,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"(חסה) חמאה
Full-Size",29/12/2022,15,15,hd,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"(חסה) אייסברג
Full-Size",29/12/2022,12,12,hd,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"סלרי
Full-Size",29/12/2022,10,10,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"מנגולד צרור
Full-Size",29/12/2022,15,15,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"(ירק) עירית בצלית
Full-Size",29/12/2022,3,3,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"(ירק) עירית שומית
Full-Size",29/12/2022,4,4,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"קייל
Full-Size",29/12/2022,6,6,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"לאושטיאן
Full-Size",29/12/2022,6,6,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"(ירק) פטרוזיליה
Full-Size",29/12/2022,20,20,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,תרד ניוזילנדי,29/12/2022,4,4,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"(ירק) בצל ירוק
Full-Size",29/12/2022,15,15,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"בייבי - רוקט
Baby Leaf",29/12/2022,3,3,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"בייבי מיקס
Full-Size",29/12/2022,6,6,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"בייבי נפרדים
Full-Size",29/12/2022,1,1,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"סלק
Full-Size Root",29/12/2022,8,8,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"ברוקולי
Full-Size",29/12/2022,6,6,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"כרוב
Full-Size",29/12/2022,6,6,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,חציל ארוך,29/12/2022,1,1,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"שומר
Full-Size",29/12/2022,10,10,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"פלפל חריף
Ripe",29/12/2022,1,1,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"צנונית
Full-Size",29/12/2022,12,12,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"תבלין - נענע
Full-Size",29/12/2022,5,5,bn,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,היביסקוס אדום,29/12/2022,1,1,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,תפוז,29/12/2022,40,40,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,תות שדה,29/12/2022,1,1,kg,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,שלפח-גולדן ברי,29/12/2022,1,1,cs,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"נבטים - רוקט
Microgreen",29/12/2022,4,4,cs,,Nimrod Wald,0
Thursday 29/12/2022,חנות הגינה ,,,"נבטים - צנונית
Microgreen",29/12/2022,4,4,kg,,Nimrod Wald,0
Tuesday 27/12/2022,b2b ,,,"(ירק) פטרוזיליה
Full-Size",27/12/2022,15,15,bn,,Nimrod Wald,0
Tuesday 27/12/2022,b2b ,,,"פאק צוי
Full-Size",27/12/2022,6,6,cs,,Nimrod Wald,0
Tuesday 27/12/2022,b2b ,,,כרישה,27/12/2022,6,6,bn,,Nimrod Wald,0
Tuesday 27/12/2022,b2b ,,,גינגר,27/12/2022,1,1,kg,,Nimrod Wald,0
Tuesday 27/12/2022,לגעת בשדה,סיטונאי,#FD9B91,"שומר
Full-Size",27/12/2022,30,30,kg,,Nimrod Wald,0
Tuesday 27/12/2022,לגעת בשדה,סיטונאי,#FD9B91,"צנונית
Full-Size",27/12/2022,20,20,bn,,Nimrod Wald,0
Tuesday 27/12/2022,לגעת בשדה,סיטונאי,#FD9B91,"צנון
Full-Size",27/12/2022,10,10,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"(חסה) חמאה
Full-Size",26/12/2022,12,12,hd,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"(חסה) אייסברג
Full-Size",26/12/2022,12,12,hd,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"סלרי
Full-Size",26/12/2022,8,8,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"(ירק) עירית בצלית
Full-Size",26/12/2022,4,4,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"(ירק) עירית שומית
Full-Size",26/12/2022,4,4,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"קייל
Full-Size",26/12/2022,6,6,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"לאושטיאן
Full-Size",26/12/2022,6,6,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"(ירק) פטרוזיליה
Full-Size",26/12/2022,10,10,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"פאק צוי
Full-Size",26/12/2022,4,4,cs,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"(ירק) בצל ירוק
Full-Size",26/12/2022,10,10,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"בייבי - רוקט
Baby Leaf",26/12/2022,4,4,kg,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"בייבי מיקס
Full-Size",26/12/2022,8,8,kg,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"בייבי נפרדים
Full-Size",26/12/2022,2,2,kg,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"סלק
Full-Size Root",26/12/2022,8,8,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"ברוקולי
Full-Size",26/12/2022,10,10,kg,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"כרוב
Full-Size",26/12/2022,12,12,kg,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"שומר
Full-Size",26/12/2022,10,10,kg,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"קולרבי
Full-Size",26/12/2022,10,10,kg,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,כרישה,26/12/2022,6,6,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"צנונית
Full-Size",26/12/2022,12,12,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,"תבלין - נענע
Full-Size",26/12/2022,6,6,bn,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,תות שדה,26/12/2022,1,1,kg,,Nimrod Wald,0
Monday 26/12/2022,Nimrod Wald,חנות הגינה,#2882CE,גינגר,26/12/2022,1,1,kg,,Nimrod Wald,0
Thursday 22/12/2022,Nimrod Wald,חנות הגינה,#C4E63E,"(חסה) רומית
Full-Size",22/12/2022,35,35,hd,,Nimrod Wald,0
Thursday 22/12/2022,Nimrod Wald,חנות הגינה,#C4E63E,"סלרי
Full-Size",22/12/2022,20,20,bn,,Nimrod Wald,0
Thursday 22/12/2022,Nimrod Wald,חנות הגינה,#C4E63E,"מנגולד צרור
Full-Size",22/12/2022,12,12,bn,,Nimrod Wald,0
Thursday 22/12/2022,Nimrod Wald,חנות הגינה,#C4E63E,"(ירק) עירית בצלית
Full-Size",22/12/2022,4,4,bn,,Nimrod Wald,0
Thursday 22/12/2022,Nimrod Wald,חנות הגינה,#C4E63E,"(ירק) עירית שומית
Full-Size",22/12/2022,4,4,bn,,Nimrod Wald,0
